ENGL-MA,English
ENGL-MAJ,English
ENGL-MIN,English
ENGL-PHD,English
ENGM-MIN,Engineering Mechanics
ENGR-GMIN,Engineering
ENGR-MENG,Engineering
ENGR-PHD,Engineering
ENRS-B1ER,Environmental Restoration Science
ENRS-MIN,Environmental Restoration Science
ENSC-MIN,Energy Science
ENTO-GMAJ,Entomology
ENTO-GMIN,Entomology
ENTO-MIN,Entomology
ENTO-MS,Entomology
ENTO-PHD,Entomology
ENVE-GMAJ,Environmental Engineering
ENVE-GMIN,Environmental Engineering
ENVE-MS,Environmental Engineering
ENVR-B1ES,Environmental Studies
ENVR-MIN,Environmental Studies
EPHYS-BSEH,Physics
EPHYS-MAJ,Physics
EPPT-NDEG,Pre-Physical Therapy
ERSS-BSEH,Earth and Space Science 7-12
ERSS-MAJ,Earth and Space Science 7-12
ERUS-MIN,Russian
ERUSS-BSEH,Russian
ERUSS-MAJ,Russian
ESPA-MIN,Spanish
ESPAN-BSEH,Spanish
ESPAN-MAJ,Spanish
ESPC-MAJ,Speech Grades 7-12
ETHN-BA,Ethnic Studies
ETHN-BS,Ethnic Studies
ETHN-MAJ,Ethnic Studies
ETHN-MIN,Ethnic Studies
ETHR-MAJ,Theatre Grades 7-12
EURO-MAJ,European Studies
EXCG-NDEG,Exchange Student
EXPS-NDEG,General - CASNR
FA001-MAJ,Art
FA002-MAJ,Art History and Criticism
FA003-MAJ,Music
FA004-MAJ,Theatre
FA005-MAJ,Theatre
FA006-MAJ,Dance
FA007-MAJ,Theatre
FA008-MAJ,Theatre
FACS-MIN,Family and Consumer Sciences
FD12-MIN,Food Science and Technology
FDSD-GCER,Food Safety and Defense
FDST-B1FS,Food Science and Technology
FDST-GMAJ,Food Science and Technology
FDST-GMIN,Food Science and Technology
FDST-MIN,Food Science and Technology
FDST-MS,Food Science and Technology
FDST-PHD,Food Science and Technology
FEWS-MIN,"Food, Energy and Water in Society"
FFPL-GCER,Family Financial Planning
FHOC-GCER,Financial and Housing Counseling
FILM-BA,Film Studies
FILM-BS,Film Studies
FILM-MAJ,Film Studies
FILM-MIN,Film Studies
FINA-BSBA,Finance
FINA-MAJ,Finance
FINA-MIN,Finance
FINB-BSBA,Finance (Banking & Financial Institutions)
FINB-MAJ,Finance (Banking & Financial Institutions)
FINC-BSBA,Finance (Banking & Risk Management)
FINC-MAJ,Finance (Banking & Risk Management)
FINI-BSBA,Finance (CFA-Investments)
FINI-MAJ,Finance (CFA-Investments)
FINR-BSBA,Finance (Risk Management & Insurance)
FINR-MAJ,Finance (Risk Management &Insurance)
FINT-BA,Interdisciplinary Studies
FNPM-GCER,Floriculture and Nursery Production Management
FORS-B1FO,Forensic Science
FREN-BA,French
FREN-BS,French
FREN-MAJ,French
FREN-MIN,French
FRFL-BSEH,French 7-12 and French K-6
FRFL-MAJ,French 7-12 and French K-6
FTCA-B1FC,Food Technology for Companion Animals
FUSTD-BA,University Studies
FUSTD-MAJ,University Studies
FUSTD-MIN,University Studies
FWL-B1FW,Fisheries and Wildlife
FWL-MAJ,Fisheries and Wildlife
FWL-MIN,Fisheries and Wildlife
GECM-B1GE,Grassland Ecology and Management
GECM-MIN,Grassland Ecology and Management
GEOG-BA,Geography
GEOG-BS,Geography
GEOG-GMAJ,Geography
GEOG-GMIN,Geography
GEOG-MA,Geography
GEOG-MAJ,Geography
GEOG-MIN,Geography
GEOG-PHD,Geography
GEOL-BA,Geology
