MAJOR =,COLLEGE,COURSE 4-DIGIT CODES,NOTES
Chemistry (7-12),ENG," EDPS, TEAC ","PER JIM COTTER, 5/3/2010]"
Child Development/Early Childhood Education,EHS, CYAF 
"Child, Youth and Family Studies/Journalism and Mass Communications ",EHS, CYAF 
Civil Engineering,ENG,NO COURSE TAB,DR. MOORE 5/3/2010.  I wrote him an email asking if there was a way to poulate the field. 
Classical Languages,ASC,"  LATN, GREK"
Classics and Religious Studies,ASC," CLAS,GREK,HEBR,LATN,RELG"
Communication Studies,ASC, COMM  
Computer Engineering,ENG,NO COURSE TAB,DR. MOORE 5/3/2010.  I wrote him an email asking if there was a way to poulate the field. 
Computer Science,ASC,  CSCE
Construction Engineering,ENG,NO COURSE TAB,DR. MOORE 5/3/2010.  I wrote him an email asking if there was a way to poulate the field. 
Construction Management,ENG,NO COURSE TAB,DR. MOORE 5/3/2010.  I wrote him an email asking if there was a way to poulate the field. 
Criminology and Criminal Justice,PAC, CRIM,PER KAREN FULTON 5/3/2010
Culinary Science,EHS,NUTR,PER SCHNEPF 5/3/2010
Dance,FPA, DANC
Dietetics,EHS, NUTR,PER SCHNEPF 5/3/2010
Dietetics/Journalism and Mass Communications,EHS, NUTR,PER SCHNEPF 5/3/2010
Early Care and Education,EHS,CYAF 
Earth Science (7-12),EHS,"  EDPS, TEAC ","PER JIM COTTER, 5/3/2010]"
Economics,ASC, ECON
Economics,CBA, ECON
Economics and History (7-12),EHS," EDPS, TEAC ","PER JIM COTTER, 5/3/2010]"
Electrical Engineering,ENG,NO COURSE TAB,DR. MOORE 5/3/2010.  I wrote him an email asking if there was a way to poulate the field. 
Elementary Education (K-6),EHS," EDPS, TEAC ","PER JIM COTTER, 5/3/2010]"
Elementary Education/Art (K-6),EHS," EDPS, TEAC ","PER JIM COTTER, 5/3/2010]"
Elementary Education (K-6) and Early Childhood Education,EHS," EDPS, TEAC "
Elementary Education and Deaf or Hard of Hearing Education,EHS," EDPS, TEAC ","PER JIM COTTER, 5/3/2010]"
Elementary Education and Mild/Moderate Disabilities K-6,EHS," EDPS, TEAC ","PER JIM COTTER, 5/3/2010] "
English,ASC, ENGL 
English (7-12),EHS," EDPS, TEAC ","PER JIM COTTER, 5/3/2010]"
Enviromental Restoration Science,ANR,NO COURSE TAB,PER DR. COMFORT 5/3/2010
Environmental Studies,CASNR, ENVR ,PER DAVE GOSSELIN 5/3/2010] 
Environmental Studies,ASC, ENVR ,PER DAVE GOSSELIN 5/3/2010] 
Ethnic Studies,ASC, ETHN  
European Studies,ASC,, ASK BILL WATTS 
Family and Consumer Sciences (7-12),EHS,"CYAF, EDPS, TEAC ","PER JIM COTTER, 5/3/2010]"
Family Science,EHS, CYAF 
Film and New Media (Production),FPA, THEA 
Film Studies,ASC,, ASK BILL WATTS 
Finance,CBA, FINA 
Fisheries and Wildlife,ANR, NRES,; ASK DEPT-LARKIN POWELL
Food Science and Technology,ANR, FDST 
Food Technology for Companion Animals,ANR, FDST 
Forensic Science,ANR, FORS
French,ASC, FREN
French (7-12),EHS," EDPS, TEAC ","PER JIM COTTER, 5/3/2010] "
Geography,ASC, GEOG
Geography and History (7-12),EHS," EDPS, TEAC ","PER JIM COTTER, 5/3/2010] "
Geology,ASC, GEOL
German,ASC, GERM
German (7-12),EHS," EDPS, TEAC ","PER JIM COTTER, 5/3/2010] "
Gerontology,PAC, GERO
Grassland Ecology and Management,ANR, RNGE,; ASK DEPT
Grazing Livestock Systems,ANR, GRAS, ; ASK DEPT
Great Plains Studies,ASC, GPSP
History,ASC, HIST 
History (7-12),EHS," EDPS, TEAC ","PER JIM COTTER, 5/3/2010]"
Horticulture,ANR, HORT 
"Hospitality, Restaurant and Tourism Management",CASNR, HRTM,PER SCHNEPF 5/3/2010
"Hospitality, Restaurant and Tourism Management",EHS, HRTM,PER SCHNEPF 5/3/2010
Inclusive Early Childhood Education Birth to Grade 3,EHS, CYAF 
Individualized Program of Study,ASC, NO COURSE TAB 
Industrial and Management Systems Engineering,ENG,NO COURSE TAB,DR. MOORE 5/3/2010.  I wrote him an email asking if there was a way to poulate the field. 
Insect Science,ANR, ENTO  
Interdisciplinary Studies  ,FPA,NO COURSE TAB
Interior Design,ARH, IDES ,PER STEPHANIE KUENNING 5/3/2010
International Business,CBA,NO COURSE TAB,PER D’VEE BUSS 5/3/2010]
International Studies,ASC,, ASK BILL WATTS 
Journalism and Mass Communications and English (7-12),EHS,"  EDPS, TEAC ","PER JIM COTTER, 5/3/2010]"
Landscape Architecture,ARH, LARC,PER STEPHANIE KUENNING 5/3/2010
Language Arts (7-12),EHS," EDPS, TEAC ","PER JIM COTTER, 5/3/2010]"
Latin American Studies,ASC,, ASK BILL WATTS 
Management,CBA," MNGT, MIST, ENTR"
Marketing,CBA, MRKT
Marketing and Cooperative Education,EHS," EDPS, TEAC ","PER JIM COTTER, 5/3/2010]"
Mathematics,ASC, MATH
Mathematics (7-12),EHS," EDPS, TEAC ","PER JIM COTTER, 5/3/2010] "
Mechanical Engineering,ENG,NO COURSE TAB,DR. MOORE 5/3/2010.  I wrote him an email asking if there was a way to poulate the field. 
Mechanized Systems Management,ANR, MSYM
Medieval and Renaissance Studies,ASC,, ASK BILL WATTS 
Merchandising,EHS, TXCD
Meteorology-Climatology,ASC, METR
Mild/Moderate Disabilities (7-12),EHS," EDPS, TEAC ","PER JIM COTTER, 5/3/2010]"
Mild/Moderate Disabilities and Deaf or Hard of Hearning (7-12),EHS," EDPS, TEAC ","PER JIM COTTER, 5/3/2010] "
Music,FPA,,  ASK BRIAN
Music Education (Pre K-12),FPA,, ASK BRIAN
Natural Resource and Environmental Economics,ANR," NREE, NRES "
Natural Science (7-12),EHS," EDPS, TEAC ","PER JIM COTTER, 5/3/2010]"
News Editorial,JMC, JOUR ,PER MIKE GOFF 5/3/2010]
"Nutrition, Exercise and Health Science",EHS, NUTR ,PER SCHNEPF 5/3/2010
Nutrition Science,EHS, NUTR ,PER SCHNEPF 5/3/2010
Philosophy,ASC, PHIL
Physical Science (7-12),EHS," EDPS, TEAC ","PER JIM COTTER, 5/3/2010]"
Physics (7-12),EHS," EDPS, TEAC ","PER JIM COTTER, 5/3/2010]"
Physics (and Astronomy Option),ASC," PHYS, ASTR"
Plant Biology ,CASNR,PLPT,; CALL DEPARTMENT
Plant Biology ,ASC,PLPT,; CALL DEPARTMENT
Plant Protection Sciences,ANR,, CALL DEPARTMENT
Political Science,ASC, POLS 
Political Science and History (7-12),EHS," EDPS, TEAC ","PER JIM COTTER, 5/3/2010] "
PGA Golf Management,ANR, PGMP
Psychology,ASC, PSYC  
Reading and Writing (7-12),EHS," EDPS, TEAC ","PER JIM COTTER, 5/3/2010] "
Russian,ASC, RUSS
Russian (7-12),EHS," EDPS, TEAC ","PER JIM COTTER, 5/3/2010] "
Social Science (7-12),EHS," EDPS, TEAC ","PER JIM COTTER, 5/3/2010]"
Sociology,ASC, SOCI
Spanish,ASC, SPAN
Spanish (7-12),EHS," EDPS, TEAC ","PER JIM COTTER, 5/3/2010] "
Speech and English (7-12),EHS," EDPS, TEAC ","PER JIM COTTER, 5/3/2010] "
Speech-Language Pathology and Audiology,ASC, SLPA 
Textile and Apparel Design,EHS, TXCD
Textile Science,EHS, TXCD
Textiles Clothing and Design and Journalism Mass Communications,EHS, TXCD
Theatre,FPA, THEA
Theatre and English (7-12),EHS," EDPS, TEAC ","PER JIM COTTER, 5/3/2010] "
Turfgrass and Landscape Management,ANR, TLMT
University Studies (courses vary) ,ASC, NO COURSE TAB
Veterinary Science,ANR, VBMS
Veterinary Technologist,ANR, VBMS 
Water Science,ANR,  WATS
Women's and Gender Studies,ASC, WMNS
